MEDIENNR;VERFASSERIN;TITEL;MEDIENGRUPPE;SYSTEMATIK;ANZAHL_AUSLEIHEN;ANZAHL_TITEL
1183221;Lohf, Sabine;Zitronengelb und Feuerrot;Buch;JD.K;285;41
1169767;Naber, Sabina;Marathonduell;Buch;DR.D;285;36
1184273;Hjorth, Michael;¬Die¬ Toten, die niemand vermisst;Buch;DR.D;285;32
1173949;Moser, Erwin;Wie geht's dem Schweinchen?;Buch;JD.N;284;31
1201428;Jolibois, Christian;¬Das¬ Monster mit dem Gockelkopf;Buch;JD.R;284;40
1173643;Lind, Hera;Verwechseljahre;Buch;DR.G;284;29
0923685;Zusak, Markus;¬Die¬ Bücherdiebin;Buch;JE.GZZ;284;29
1069313;Mai, Manfred;Artus und das Schwert im Stein;Buch;JM.CO;284;34
0599020;Beer, Hans ¬de¬;Küçük beyaz ayi beni yalniz biirakma!;Buch;JF.TZ;284;80
1121408;Gehm, Franziska;Bissgeschick um Mitternacht;Buch;JM.G;284;31
1086342;Stone, Rex;In den Fängen des Protosuchus;Buch;JM;284;27
1140129;Gehm, Franziska;Prinzessin Sofie findet eine Freundin;Buch;JM.CB;284;28
1168608;Deaver, Jeffery;¬Die¬ Angebetete;Buch;DR.E;284;40
1115787;Widmark, Martin;¬Das¬ Fußballgeheimnis;Buch;JE.D;283;33
1113852;Brezina, Thomas;¬Die¬ Feuer speiende Maske;Buch;JE.DR;283;29
0412529;Weninger, Brigitte;Pauli, Streit mit Edi;Buch;JD.R;283;35
1151210;Jolibois, Christian;Um Gockels willen! Irgendwer hat die Sonne gestohlen!;Buch;JD.R;283;45
1151826;Blyton, Enid;Hanni & Nanni 2;DVD;TT.JE;283;35
1092880;Stone, Rex;¬Die¬ List des Lystrosaurus;Buch;JM;283;29
1015554;Baeten, Lieve;¬Die¬ kleine Hexe zaubert;Buch;JD.R;282;33
0705052;Funke, Cornelia;Tintenblut;Buch;JM.F;282;64
1189110;Raimi, Sam;¬Die¬ fantastische Welt von Oz;DVD;TT.JM;282;42
1086832;Lütje, Susanne;Robin findet ein Dingsda;Buch;JM.C;282;27
0406635;Beer, Hans de;Kleiner Eisbär, lass mich nicht allein!;Buch;JD.R;282;33
1018626;Boehme, Julia;Conni auf dem Reiterhof;Buch;JE.C;282;26
