MEDIENNR;VERFASSERIN;TITEL;MEDIENGRUPPE;SYSTEMATIK;ANZAHL_AUSLEIHEN;ANZAHL_TITEL
0783857;Vogel, Maja ¬von¬;Geschichten vom kleinen Fohlen;Buch;JE.CB;574;70
0933269;Osborne, Mary Pope;¬Der¬ geheime Flug des Leonardo;Buch;JM;572;49
1214346;Simsion, Graeme C.;¬Das¬ Rosie-Projekt;Buch;DR;572;42
1214277;Noll, Ingrid;Hab und Gier;Buch;DR.D;572;45
0898712;Rowling, Joanne K.;Harry Potter und die Heiligtümer des Todes;Buch;JM.H;570;121
0794654;Siegner, Ingo;¬Der¬ kleine Drache Kokosnuss und die Wetterhexe;Buch;JM;570;42
1206225;Düringer, Roland;Leb wohl, Schlaraffenland;Buch;PI.Y;570;46
1128936;Rossmann, Eva;Unter Strom;Buch;DR.D;567;56
0703928;Nöstlinger, Christine;Mini muss ins Krankenhaus;Buch;JE.C;563;56
1019918;Osborne, Mary Pope;¬Die¬ geheime Macht der Zauberflöte;Buch;JM;559;43
1168118;Osborne, Mary Pope;¬Die¬ Feder der Macht;Buch;JM;557;44
1136089;Siegner, Ingo;¬Der¬ kleine Drache Kokosnuss und das Geheimnis der Mumie;Buch;JM.CM;556;49
0765231;Glattauer, Daniel;Gut gegen Nordwind;Buch;DR.G;555;76
1121338;Vogel, Maja ¬von¬;Mädchengeschichten;Buch;JE.C;554;48
1166898;Nordqvist, Sven;Findus zieht um;Buch;JD.R;553;45
1183597;Slupetzky, Stefan;Polivka hat einen Traum;Buch;DR.D;552;44
1198293;George, Elizabeth;Nur eine böse Tat;Buch;DR.D;549;44
0988476;Vogel, Maja ¬von¬;Beutejagd am Geistersee;Buch;JE.D;548;50
0964861;Osborne, Mary Pope;¬Das¬ Ungeheuer vom Meeresgrund;Buch;JM;547;46
1168577;Reider, Katja;Paula rettet ein Kätzchen;Buch;JE.C;547;41
1181503;Osborne, Mary Pope;Pandas in großer Gefahr;Buch;JM;547;41
1188577;Russell, Rachel Renée;Nikkis (nicht ganz so) perfektes erstes Date;Buch;JE;545;37
1223494;Allen, Woody;Blue Jasmine;DVD;TT.KT.01;544;41
1124033;Leon, Donna;Reiches Erbe;Buch;DR.D;542;52
1126891;Adler-Olsen, Jussi;Verachtung;Buch;DR.E;537;55
1198299;Rowling, Joanne K.;¬Der¬ Ruf des Kuckucks;Buch;DR.D;537;42
1137858;Osborne, Mary Pope;Lawinenhunde im Schneesturm;Buch;JM;534;39
1181568;Brezina, Thomas;¬Der¬ Wolf mit dem Goldzahn;Buch;JM.D;532;42
1199078;Nesser, Håkan;Himmel über London;Buch;DR.D;529;41
0733886;Dietl, Erhard;¬Die¬ Olchis werden Fußballmeister;Buch;JM.C;529;44
1013483;Widmark, Martin;¬Das¬ Mumiengeheimnis;Buch;JE.D;526;103
0733883;Nöstlinger, Christine;Neue Fußballgeschichten vom Franz;Buch;JE.C;524;52
1038412;Kürthy, Ildikó ¬von¬;Endlich!;Buch;DR.G;524;80
1168579;Hanauer, Michaela;Prinzessinnengeschichten;Buch;JM.CG;523;40
0987694;Finsterbusch, Monika;Prinzessin Lillifee und das kleine Reh;Buch;JD.R;521;39
1065921;Vogel, Maja ¬von¬;Seepferdchen in Gefahr!;Buch;JM.C;520;40
1183687;Markaris, Petros;Abrechnung;Buch;DR.D;520;46
0352436;Rowling, Joanne K.;Harry Potter und der Stein der Weisen;Buch;JM.H;519;71
1222335;Aichner, Bernhard;Totenfrau;Buch;DR.E;518;47
1218349;Grisham, John;¬Die¬ Erbin;Buch;DR.E;517;43
1036192;Osborne, Mary Pope;Piratenspuk am Mississippi;Buch;JM;517;41
1214309;Dietl, Erhard;¬Die¬ Olchis und die große Mutprobe;Buch;JM.C;517;44
1192471;Falk, Rita;Sauerkraut-Koma;Buch;DR.D;516;38
1229076;Leon, Donna;¬Das¬ goldene Ei;Buch;DR.D;513;47
1199067;Fitzek, Sebastian;Noah;Buch;DR.E;511;44
0988240;Haas, Wolf;¬Der¬ Brenner und der liebe Gott;Buch;DR.D;511;80
1198271;Munro, Alice;Liebes Leben;Buch;DR;511;43
1091055;Schirach, Ferdinand ¬von¬;¬Der¬ Fall Collini;Buch;DR.D;510;72
1125935;Noll, Ingrid;Über Bord;Buch;DR.D;508;52
1199170;Ahern, Cecelia;¬Die¬ Liebe deines Lebens;Buch;DR;507;43
1183857;Boehme, Julia;Conni und das neue Fohlen;Buch;JE;507;39
1133850;James, E. L.;Geheimes Verlangen;Buch;DR;506;51
1181570;Brezina, Thomas;¬Der¬ große Schnitzel-Schatz;Buch;JM.D;506;42
0895813;Osborne, Mary Pope;Geheimauftrag in Paris;Buch;JM;505;41
1169675;Scheffler, Axel;Suchen und Entdecken;Buch;JD.K;505;39
1035225;Hunter, Erin;Feuersterns Mission;Buch;JM.F;504;64
1172937;Russell, Rachel Renée;Nikkis (nicht ganz so) guter Rat in allen Lebenslagen;Buch;JE;503;36
1165703;Raab, Thomas;¬Der¬ Metzger kommt ins Paradies;Buch;DR.D;501;47
1201938;Salcher, Andreas;Erkenne dich selbst und erschrick nicht;Buch;PI.Y;500;43
1135323;Haas, Wolf;Verteidigung der Missionarsstellung;Buch;DR;497;59
1065328;Dietl, Erhard;¬Die¬ Olchis und die Teufelshöhle;Buch;JM;497;46
1116794;Knister;Hexe Lilli und der kleine Delfin;Buch;JM.C;496;42
0967435;Knister;Hexe Lilli und der kleine Eisbär Knöpfchen;Buch;JM.C;496;36
1138191;James, E. L.;Gefährliche Liebe;Buch;DR;495;52
0445769;Nöstlinger, Christine;Opageschichten vom Franz;Buch;JE.C;494;46
1213143;Läckberg, Camilla;¬Die¬ Engelmacherin;Buch;DR.D;493;39
1198384;August, Bille;Nachtzug nach Lissabon;DVD;TT.KT.15;491;39
0793208;Vogel, Maja ¬von¬;Vorsicht Strandhaie;Buch;JE.D;490;44
1165467;Meyerhoff, Joachim;Wann wird es endlich wieder so wie es nie war;Buch;DR;490;36
0961490;Glattauer, Daniel;Alle sieben Wellen;Buch;DR;488;86
0896951;Vogel, Maja ¬von¬;Tanz der Hexen;Buch;JE.D;488;42
0896992;Osborne, Mary Pope;¬Das¬ verwunschene Einhorn;Buch;JM;488;44
1066562;Russell, Rachel Renée;Nikkis (nicht ganz so) fabelhafte Welt;Buch;JE;486;37
1080484;Dietl, Erhard;¬Das¬ Olchi-ABC;Buch;JD.Z;484;41
1112268;Scheffler, Ursel;Paula, Prinzessin für einen Tag;Buch;JE.C;482;37
1168605;Ahrens, Henning;Zorro - Der Rächer der Armen;Buch;JM.C;482;40
1125938;Suter, Martin;¬Die¬ Zeit, die Zeit;Buch;DR;480;54
1214274;French, Nicci;Schwarzer Mittwoch;Buch;DR.E;478;39
1033916;Dietl, Erhard;¬Ein¬ Drachenfest für Feuerstuhl;Buch;JD.R;477;40
1198921;Oliver, Jamie;Cook clever mit Jamie;Buch;VL.HKT;476;43
0792754;Osborne, Mary Pope;¬Der¬ gestohlene Wüstenschatz;Buch;JM;475;40
1189345;Steffensmeier, Alexander;Lieselotte ist krank;Buch;JD.R;475;39
0702690;Rowling, Joanne K.;Harry Potter und der Halbblutprinz;Buch;JM.H;474;83
1171906;Pichon, Liz;Ich bin so was von genial (aber keiner merkt's);Buch;JE;473;35
1178484;Nöstlinger, Christine;Glück ist was für Augenblicke;Buch;PL.MU;473;43
0919341;Dietl, Erhard;¬Die¬ Olchis und der schwarze Pirat;Buch;JM.C;473;39
1112483;Sharmat, Marjorie Weinman;Nick Nase auf der Saurierspur;Buch;JE.C;472;43
1214243;Enrico, Jérôme;Paulette;DVD;TT.KT.04;472;40
1183685;McEwan, Ian;Honig;Buch;DR;472;44
0919977;Knister;Hexe Lilli und der Pirat in der Badewanne;Buch;JM.C;471;43
1108512;Janisch, Heinz;¬Die¬ Froschkönigin;Buch;JD.M;471;80
1140292;Falk, Rita;Grießnockerlaffäre;Buch;DR.D;469;48
1136084;Knister;Hexe Lilli und der verzauberte Goldesel;Buch;JM.C;468;40
1081663;Russell, Rachel Renée;Nikkis (nicht ganz so) glamouröses Partyleben;Buch;JE;468;39
1199059;Reichs, Kathy;Totengeld;Buch;DR.D;467;40
1191153;Clark, Christopher M.;¬Die¬ Schlafwandler;Buch;GE.GF;466;30
1164651;Camilleri, Andrea;¬Die¬ Tage des Zweifels;Buch;DR.D;464;45
1015544;Dietl, Erhard;¬Die¬ Olchis und die grüne Mumie;Buch;JM;462;44
1168607;Gerritsen, Tess;Abendruh;Buch;DR.E;461;43
1222484;Cuarón, Alfonso;Gravity;DVD;TT.KT.07;460;42
1137842;Knister;Hexe Lilli feiert Geburtstag;Buch;JM.C;460;32
1079604;Rossmann, Eva;Unterm Messer;Buch;DR.D;459;50
1199060;Brown, Sandra;Böses Herz;Buch;DR.E;459;39
0918704;Siegner, Ingo;¬Der¬ kleine Drache Kokosnuss und die wilden Piraten;Buch;JM;459;39
1084605;Pichon, Liz;Wo ich bin, ist Chaos - aber ich kann nicht überall sein;Buch;JE;459;36
1035398;Schirach, Ferdinand ¬von¬;Schuld;Buch;DR.D;458;76
1214275;Arnaldur Indridason;Duell;Buch;DR.D;457;39
1116596;Knister;Hexe Lilli und die Zaubernacht im Klassenzimmer;Buch;JM.C;456;37
1103330;Link, Charlotte;¬Der¬ Beobachter;Buch;DR.E;455;48
1142812;Adler-Olsen, Jussi;¬Das¬ Washington-Dekret;Buch;DR.E;455;49
1206183;Gruber, Andreas;Herzgrab;Buch;DR.E;455;40
1066401;Hunter, Erin;Mitternacht;Buch;JM.F;454;39
1168592;Chidolue, Dagmar;Millie und die verrückte Schulstunde;Buch;JE.C;454;41
1183545;McDermid, Val;¬Der¬ Verrat;Buch;DR.E;452;40
1071635;Leon, Donna;Auf Treu und Glauben;Buch;DR.D;452;57
1192579;Fraberger, Georg;Ohne Leib, mit Seele;Buch;GS.OB;452;42
1183252;Chidolue, Dagmar;Millie macht Theater;Buch;JE.C;452;41
0790598;Knister;Hexe Lilli und der verflixte Gespensterzauber;Buch;JM.C;451;40
1196822;Bielefeld, Claus-Ulrich;Nach dem Applaus;Buch;DR.D;451;42
0987459;Pfister, Marcus;¬Der¬ Regenbogenfisch entdeckt die Tiefsee;Buch;JD.R;451;45
1181569;Brezina, Thomas;¬Das¬ Geheimnis der Geisterstadt;Buch;JM.D;451;40
0679591;Osborne, Mary Pope;¬Das¬ Geheimnis des alten Theaters;Buch;JM;450;36
1183257;Dietl, Erhard;¬Die¬ Olchis und die Gully-Detektive von London;Buch;JM;450;41
1137237;Pfister, Marcus;Schlaf gut, kleiner Regenbogenfisch;Buch;JD.R;450;39
1216635;Nelson Spielman, Lori;Morgen kommt ein neuer Himmel;Buch;DR;450;43
1124004;Dietl, Erhard;¬Die¬ Olchis im Bann des Magiers;Buch;JM;450;44
1174808;Pfeiffer, Boris;¬Der¬ Wikingerschatz;Buch;JE.M;448;34
1161137;Rossbacher, Claudia;Steirerkind;Buch;DR.D;448;41
1218359;Suter, Martin;Allmen und die verschwundene María;Buch;DR.D;447;43
1225298;Walker, Martin;Reiner Wein;Buch;DR.D;445;46
1160673;Camilleri, Andrea;¬Die¬ Sekte der Engel;Buch;DR.D;444;45
1132972;Knister;Hexe Lilli und der Vampir mit dem Wackelzahn;Buch;JM.C;444;37
1136723;Green, John;¬Das¬ Schicksal ist ein mieser Verräter;Buch;DR.J;444;33
0763936;Osborne, Mary Pope;¬Das¬ mächtige Zauberschwert;Buch;JM;444;40
0630818;Nöstlinger, Christine;Pferdegeschichten vom Franz;Buch;JE.C;444;45
0684524;Nöstlinger, Christine;Quatschgeschichten vom Franz;Buch;JE.C;444;43
1214301;Riley, Lucinda;¬Die¬ Mitternachtsrose;Buch;DR.G;444;40
1179465;Dahl, Arne;Bußestunde;Buch;DR.D;443;42
0897957;Dietl, Erhard;¬Die¬ Olchis - so schön ist es im Kindergarten;Buch;JD.R;443;41
1183528;Clark, Mary Higgins;Spürst du den Todeshauch;Buch;DR.E;442;40
1197482;Wagenhofer, Erwin;Alphabet;Buch;PI.EP;442;40
1162479;Menasse, Eva;Quasikristalle;Buch;DR;442;40
1199069;Föhr, Andreas;Totensonntag;Buch;DR.D;442;40
1112265;Mai, Manfred;Blitz, der Fußball-Hund;Buch;JE.C;442;40
1012843;Riordan, Rick;Diebe im Olymp;Buch;JM;441;39
1192057;Pichon, Liz;Ich hab für alles eine Lösung (aber sie passt nie zum Problem);Buch;JE;441;32
0901552;Child, Lauren;¬Das¬ ist aber total mein Buch!;Buch;JD.R;441;68
1138726;Rowling, Joanne K.;¬Ein¬ plötzlicher Todesfall;Buch;DR.G;441;48
1082840;Nöstlinger, Christine;Geschichten von Mini;Buch;JE.C;440;43
1179345;Haderer, Georg;Es wird Tote geben;Buch;DR.D;440;43
1183242;Boehme, Julia;¬Das¬ große Conni-Buch zum Lesenlernen;Buch;JE.C;440;40
1209289;Scheffler, Axel;Für Hund und Katz ist auch noch Platz;Buch;JD.M;439;39
1214283;Osborne, Mary Pope;Im Bann des schwarzen Hengstes;Buch;JM;439;39
1141979;Nöstlinger, Christine;Guter Drache und Böser Drache;Buch;JD.T;439;39
1088263;Knister;Hexe Lillis lustigste Witze für Erstleser;Buch;JE.W;438;43
0628705;Nöstlinger, Christine;Mini greift ein!;Buch;JE.C;438;48
1194367;Riordan, Rick;¬Das¬ Zeichen der Athene;Buch;JM.F;437;35
0526702;Nordqvist, Sven;Wie Findus zu Pettersson kam;Buch;JD.R;437;40
1162478;Coudenhove-Kalergi, Barbara;Zuhause ist überall;Buch;GE.H;437;40
1225297;Camilleri, Andrea;¬Der¬ Tanz der Möwe;Buch;DR.D;436;46
1168585;Boehme, Julia;Conni und die große Eiszeit;Buch;JE;436;39
1113849;Pichon, Liz;Eins-a-Ausreden (und anderes cooles Zeug);Buch;JE;436;34
1202029;Yousafzai, Malala;Ich bin Malala;Buch;BB.OF;436;41
1203023;Blyton, Enid;Hanni & Nanni 3;DVD;TT.JE;435;37
1121361;Boehme, Julia;Tiergeschichten;Buch;JE.CG;435;40
1137740;Boehme, Julia;Conni und die Burg der Vampire;Buch;JE;435;39
1214305;Scheffler, Ursel;Paula und der Schultüten-Drache;Buch;JE.C;435;41
1233233;McQueen, Steve (Regisseur);12 Years a Slave;DVD;TT.KT.14;435;41
1175264;Goppel, Christine;Mein KlappLochSuchBuch - Auf Reisen;Buch;JD.W;432;39
1116951;Pfeiffer, Boris;¬Der¬ Meisterdieb;Buch;JE.M;432;34
1132468;Russell, Rachel Renée;Nikki als (nicht ganz so) graziöse Eisprinzessin;Buch;JE;432;34
1172800;Chapman, Linda;Zirkus der Träume;Buch;JE.NP;432;36
1124093;Hunter, Erin;¬Der¬ geheime Blick;Buch;JM.F;431;39
0965113;Dietl, Erhard;¬Die¬ Olchis und der karierte Tigerhai;Buch;JM;431;42
1166082;Kulot, Daniela;Reim dich nett ins Bett;Buch;JD.L;430;43
1218357;Safier, David;28 Tage lang;Buch;DR;429;44
0937942;Hunter, Erin;In die Wildnis;Buch;JM.F;429;38
1138053;Riordan, Rick;¬Der¬ Sohn des Neptun;Buch;JM.F;428;36
1183505;McKee, David;Elmar besucht die Wale;Buch;JD.R;428;40
1012845;Riordan, Rick;Im Bann des Zyklopen;Buch;JM;427;37
1183686;Hackl, Erich;Dieses Buch gehört meiner Mutter;Buch;DR;426;43
1113850;Russell, Rachel Renée;Nikkis (nicht ganz so) phänomenaler Auftritt;Buch;JE;426;38
1218333;Edwardson, Åke;¬Das¬ dunkle Haus;Buch;DR.D;426;41
1206128;Blyton, Enid;Fünf Freunde 2;DVD;TT.JE;426;36
1089794;De Waal, Edmund;¬Der¬ Hase mit den Bernsteinaugen;Buch;GE.HW;425;38
1142388;Pichon, Liz;Alles Bombe (irgendwie);Buch;JE;425;31
1064296;Riordan, Rick;¬Die¬ Schlacht um das Labyrinth;Buch;JM.F;424;41
1136482;Watt, Fiona;¬Das¬ ist nicht mein Traktor;Buch;JD.K;424;39
1191155;Jelinek, Gerhard;Schöne Tage 1914;Buch;GE.GF;424;40
1216913;Siegner, Ingo;¬Der¬ kleine Drache Kokosnuss und der große Zauberer;Buch;JM;424;40
0734105;Knister;Hexe Lilli entdeckt Amerika;Buch;JM.C;424;37
1175266;Wandrey, Guido;Mein großes Kindergarten-ABC-Wimmelbuch;Buch;JD.W;423;38
1168591;Lindgren, Astrid;Michels Unfug Nummer 325;Buch;JE.C;422;40
1136444;Chapman, Linda;Bei den Trollen;Buch;JE.NP;422;33
1218352;Roberts, Nora;¬Das¬ Geheimnis der Wellen;Buch;DR.E;422;39
1229504;Jackson, Peter;¬Der¬ Hobbit: Smaugs Einöde;DVD;TT.KT.07;420;40
0730185;Siegner, Ingo;¬Der¬ kleine Drache Kokosnuss - Schulfest auf dem Feuerfelsen;Buch;JM;420;32
1184763;Gawhary, Karim el-;Frauenpower auf Arabisch;Buch;BI.OF;419;33
1111829;Knister;Hexe Lilli im Wunderland;Buch;JM.H;418;40
1213840;Peyo;¬Die¬ Schlümpfe 2;DVD;TT.JD.C;417;36
1134389;Follett, Ken;Winter der Welt;Buch;DR;417;56
1198391;Robotham, Michael;Sag, es tut dir leid;Buch;DR.E;417;40
1193589;Preußler, Otfried;¬Das¬ kleine Gespenst;Buch;JM.G;417;39
0661857;Hämmerle, Susa;Österreich-Atlas für Kinder;Buch;JR.LEO;416;101
0768586;Pfister, Marcus;¬Der¬ Regenbogenfisch kehrt zurück;Buch;JD.R;416;39
1069519;Hunter, Erin;Mondschein;Buch;JM.F;416;40
1085508;Riordan, Rick;¬Die¬ letzte Göttin;Buch;JM.F;416;39
1068252;Sol, Mira;Panik im Freizeitpark;Buch;JE.D;415;31
1183679;Pluhar, Erika;¬Die¬ öffentliche Frau;Buch;DR;415;42
1174502;Pfister, Marcus;Alles hat einen Namen;Buch;JD.K;415;40
1179626;Gier, Kerstin;Dream a little dream;Buch;JM.G;415;36
1112270;Maar, Paul;Hannes und die Wut im Bauch;Buch;JE.C;414;40
1183541;Grisham, John;¬Das¬ Komplott;Buch;DR.E;414;39
1140515;James, E. L.;Befreite Lust;Buch;DR;413;44
1183254;Lindgren, Astrid;Als Klein-Ida auch mal Unfug machen wollte;Buch;JE;412;41
1162889;Knecht, Doris;Besser;Buch;DR;412;43
1168222;Nieländer, Peter;Ampel, Straße und Verkehr;Buch;JD.JV;412;32
1114825;Boehme, Julia;Conni und der Ferienzirkus;Buch;JE;412;39
1214321;Lehtolainen, Leena;¬Das¬ Nest des Teufels;Buch;DR.D;412;40
1214308;Mai, Manfred;Blitz, der Fußball-Hund;Buch;JE.C;411;41
1192058;Le Carré, John;Empfindliche Wahrheit;Buch;DR.E;410;39
0988826;Vogel, Maja ¬von¬;Alle lieben Emma;Buch;JE.F;410;60
1197802;Schmid, Thomas;Auf Monsterjagd;Buch;JE.C;410;40
1136075;Boehme, Julia;Freundschaftsgeschichten;Buch;JE.CG;410;40
0792753;Osborne, Mary Pope;Sturmflut vor Venedig;Buch;JM;410;36
0769310;Osborne, Mary Pope;Im Bann des Eiszauberers;Buch;JM;409;38
1219055;Fielding, Helen;Bridget Jones - verrückt nach ihm;Buch;DR.G;409;42
1125941;Walker, Martin;Schatten an der Wand;Buch;DR.D;408;44
1136446;Chapman, Linda;Himmelsfreunde;Buch;JE.NP;408;35
1212716;Scholl, Susanne;Emma schweigt;Buch;DR;407;37
0655596;Dietl, Erhard;¬Die¬ Olchis und der faule König;Buch;JM.C;407;33
1130206;Link, Charlotte;Im Tal des Fuchses;Buch;DR.E;407;44
1136445;Chapman, Linda;Ferien im Palast;Buch;JE.NP;406;32
1012904;Riordan, Rick;¬Der¬ Fluch des Titanen;Buch;JM;406;36
1223515;Bornstädt, Matthias ¬von¬;¬Ein¬ Elch zum Knuddeln;Buch;JE.C;406;62
1199081;Sparks, Nicholas;Kein Ort ohne dich;Buch;DR.G;405;39
1041980;Kinney, Jeff;Endlich berühmt!;Buch;JK.T;405;28
1183554;Slaughter, Karin;Harter Schnitt;Buch;DR.E;404;39
1043215;Schneider, Liane;¬Das¬ große Conni-Buch;Buch;JE.A;404;38
1112272;Schmid, Thomas;Huhn über Bord!;Buch;JE.C;403;40
1085543;Walder, Vanessa;Einhorngeschichten;Buch;JM.CG;403;31
1140978;Marzuk, Mike;Fünf Freunde;DVD;TT.JE;402;45
1168584;Rübel, Doris;Ich komme in die Schule;Buch;JD.JV;401;38
1216667;Enders, Giulia;Darm mit Charme;Buch;NN.KHV;401;37
0794581;Dietl, Erhard;¬Die¬ Olchis fliegen zum Mond;Buch;JM;401;38
1064837;Addai, Patrick K.;Soll ich einen Elefanten heiraten, fragte der Frosch;Buch;JD.N;401;78
1220667;Rossbacher, Claudia;Steirerkreuz;Buch;DR.D;400;39
1230497;Buck, Chris;¬Die¬ Eiskönigin;DVD;TT.JD.C;400;39
1087136;Bansch, Helga;Hexlein;Buch;JD.M;399;78
0988848;Scheffler, Ursel;Paula macht Ferien am Meer;Buch;JE.C;399;31
1130513;Nesser, Håkan;Am Abend des Mordes;Buch;DR.D;399;43
0415696;Rowling, Joanne K.;Harry Potter und der Gefangene von Askaban;Buch;JM.H;398;69
1137833;McKee, David;Elmar und der rosarote Geburtstag;Buch;JD.R;398;37
1183673;Henisch, Peter;Mortimer & Miss Molly;Buch;DR;398;44
1136485;Watt, Fiona;¬Das¬ ist nicht mein Dino;Buch;JD.K;398;39
1183578;Forsyth, Frederick;¬Die¬ Todesliste;Buch;DR.E;398;39
1112461;Luhn, Usch;Bezaubernde Nixengeschichten für Erstleser;Buch;JM.C;397;33
1132007;Nöstlinger, Christine;Mehr Geschichten von Mini;Buch;JE.C;397;46
1170226;Hunter, Erin;Zeit der Dunkelheit;Buch;JM.F;397;41
1168588;Schmeißer, Frank;Hamstermän;Buch;JM.C;397;41
0895790;Siegner, Ingo;¬Der¬ kleine Drache Kokosnuss reist um die Welt;Buch;JM;397;32
1146696;Seiser, Katharina;Österreich vegetarisch;Buch;VL.HKV;396;41
1069316;Mai, Manfred;Robin Hood, König der Wälder;Buch;JM.CO;395;37
1168615;Baldacci, David;Zero Day;Buch;DR.E;395;38
0707429;Osborne, Mary Pope;Abenteuer in der Südsee;Buch;JM;394;32
1171783;Chapman, Linda;¬Das¬ magische Tuch;Buch;JE.NP;394;34
1218353;Petrowskaja, Katja;Vielleicht Esther;Buch;DR;393;42
1214325;Nieländer, Peter;Rund um den Fußball;Buch;JD.JS;393;40
1179020;Riley, Lucinda;¬Der¬ Lavendelgarten;Buch;DR.G;393;34
1197267;Freund, Eugen;¬Der¬ Tod des Landeshauptmanns;Buch;DR.D;392;39
1182566;Eco, Umberto;¬Die¬ Geschichte der legendären Länder und Städte;Buch;PL.WM;391;41
1087224;Boehme, Julia;Conni-Geschichten zum Lesenlernen;Buch;JE.CB;391;37
0707067;Siegner, Ingo;¬Der¬ kleine Drache Kokosnuss und der schwarze Ritter;Buch;JM;390;27
1136447;Chapman, Linda;¬Der¬ silberne Stern;Buch;JE.NP;390;34
0706057;Lindgren, Astrid;Children's day in Bullerbü;Buch;JF.EE;390;75
1214278;De Waal, Elisabeth;Donnerstags bei Kanakis;Buch;DR;390;42
1136793;Hunter, Erin;Fluss der Finsternis;Buch;JM.F;390;41
0451025;Rowling, Joanne K.;Harry Potter und der Feuerkelch;Buch;JM.H;390;58
1011662;Gier, Kerstin;Saphirblau. Liebe geht durch alle Zeiten;Buch;JM.F;389;33
1050635;Cowell, Cressida;Drachenzähmen leicht gemacht;DVD;TT.JD.C;389;37
1129102;Beer, Hans ¬de¬;Kleiner Eisbär - Lars in der Walbucht;Compact Disc;CD.JM;388;74
1069073;Luhn, Usch;¬Die¬ spannendsten Prinzessinnengeschichten für Erstleser;Buch;JM.C;388;31
0986143;Dietl, Erhard;Willi Vampir in der Gruselschule;Buch;JM.C;387;37
1168578;Zett, Sabine;Abenteuergeschichten;Buch;JE.CG;387;40
1183526;Boyle, Tom Coraghessan;San Miguel;Buch;DR;387;40
1183211;Postert, Petra;Traumfee Lula und der Flüsterzauber;Buch;JM.C;387;39
0351697;Nöstlinger, Christine;Babygeschichten vom Franz;Buch;JE.C;387;48
1065336;Funke, Cornelia;Dicke Freundinnen;Buch;JE.C;387;30
0320732;Nöstlinger, Christine;Mini ist kein Angsthase;Buch;JE.C;386;48
1088594;Mai, Manfred;¬Ein¬ Bruder für Anna;Buch;JE.C;386;33
1183542;Harris, Robert;Intrige;Buch;DR.E;386;40
1046267;Herrndorf, Wolfgang;Tschick;Buch;DR.JZ;386;32
1112490;Mai, Manfred;Siegfried und der Drache;Buch;JM.CO;385;40
1068269;Chapman, Linda;Wolkes neue Freunde;Buch;JE.NP;384;30
1200880;Child, Lee;61 Stunden;Buch;DR.E;384;28
1114357;Walker, Martin;Delikatessen;Buch;DR.D;384;45
1160420;Heinichen, Veit;Im eigenen Schatten;Buch;DR.D;383;43
1181822;Kneifl, Edith;¬Die¬ Tote von Schönbrunn;Buch;DR.D;383;34
1191211;Ohlsson, Kristina;Sterntaler;Buch;DR.E;383;33
1159133;Larsson, Åsa;Denn die Gier wird euch verderben;Buch;DR.E;382;41
1214348;Langreuter, Jutta;Käpt'n Sharky bei den Wikingern;Buch;JD.R;382;39
1198208;Hammesfahr, Petra;Hörig;Buch;DR.E;382;31
1214311;Nordqvist, Sven;Kennst du Pettersson und Findus?;Buch;JD.K;381;39
1218304;Dahl, Arne;Neid;Buch;DR.E;381;40
1168593;Maar, Paul;¬Das¬ Schul-ABC;Buch;JE.C;381;39
1137864;Riordan, Rick;¬Der¬ verschwundene Halbgott;Buch;JM.F;381;37
1217377;Wehle, Peter;Kommt Zeit, kommt Mord;Buch;DR.D;381;40
1186387;Hunter, Erin;Sonnenaufgang;Buch;JM.F;379;37
0730023;Nöstlinger, Christine;Rudi macht Flohmarkt;Buch;JE.C;379;42
0733755;Osborne, Mary Pope;Im Auftrag des Roten Ritters;Buch;JM;378;34
1159167;Hunter, Erin;Verbannt;Buch;JM.F;378;42
1174818;Chapman, Linda;¬Ein¬ Liebesbrief für Wolke;Buch;JE.NP;378;29
1160421;Köhlmeier, Michael;¬Die¬ Abenteuer des Joel Spazierer;Buch;DR;377;42
1164661;Rankin, Ian;Mädchengrab;Buch;DR.D;377;40
1076974;Dietl, Erhard;¬Die¬ Olchis und das Piratenschiff;Compact Disc;CD.JM;377;39
1199062;Joyce, Rachel;¬Das¬ Jahr das zwei Sekunden brauchte;Buch;DR;377;39
1183548;Rose, Karen;Todeskind;Buch;DR.E;376;40
0937943;Hunter, Erin;Feuer und Eis;Buch;JM.F;376;39
1218533;Boehme, Julia;Conni und die wilden Tiere;Buch;JE;376;40
1187238;Taschner, Rudolf;¬Die¬ Zahl, die aus der Kälte kam;Buch;NN.M;376;36
1026307;Chapman, Linda;Geheimnis der Nacht;Buch;JE.NP;375;31
1183253;Lindgren, Astrid;Nur nicht knausern, sagte Michel aus Lönneberga;Buch;JE.CO;375;41
0964648;Hunter, Erin;Geheimnis des Waldes;Buch;JM.F;375;43
1184998;Bauer, Hermann;Lenauwahn;Buch;DR.D;374;31
1187019;Flynn, Gillian;Gone girl;Buch;DR.E;374;28
1234019;Scorsese, Martin;¬The¬ Wolf of Wall Street;DVD;TT.KT.01;374;37
1183615;Cornwell, Patricia Daniels;Knochenbett;Buch;DR.D;374;39
1194897;Groos, Wolfgang;¬Die¬ Vampirschwestern;DVD;TT.JM;374;38
1176137;Lee, Ang;Life of Pi - Schiffbruch mit Tiger;DVD;TT.KT.07;374;43
1176123;Jackson, Peter;¬Der¬ Hobbit - Eine unerwartete Reise;DVD;TT.KT.07;374;42
1007014;Adler-Olsen, Jussi;Erbarmen;Buch;DR.E;374;45
